,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,New Column,Churn Binary
0,KS,128,415,No,Yes,25,265.1,110.0,45.07,197.4,99.0,16.78,244.7,91.0,11.01,10.0,3,2.7,1.0,False,10,0
1,OH,107,415,No,Yes,26,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103.0,11.45,13.7,3,3.7,1.0,False,100,0
2,NJ,137,415,No,No,0,243.4,114.0,41.38,121.2,110.0,10.3,162.6,104.0,7.32,12.2,5,3.29,0.0,False,100,0
3,OH,84,408,Yes,No,0,299.4,71.0,50.9,61.9,88.0,5.26,196.9,89.0,8.86,6.6,7,1.78,2.0,False,100,0
4,OK,75,415,Yes,No,0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3,2.73,3.0,False,100,0
5,AL,118,510,Yes,No,0,223.4,98.0,37.98,220.6,101.0,18.75,203.9,118.0,9.18,6.3,6,1.7,0.0,False,100,0
7,MO,147,415,Yes,No,0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6,1.92,0.0,False,100,0
8,LA,117,408,No,No,0,184.5,97.0,31.37,351.6,80.0,29.89,215.8,90.0,9.71,8.7,4,2.35,1.0,False,100,0
9,WV,141,415,Yes,Yes,37,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5,3.02,0.0,False,100,0
10,IN,65,415,No,No,0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,111.0,9.4,12.7,6,3.43,4.0,True,100,1
11,RI,74,415,No,No,0,187.7,127.0,31.91,163.4,148.0,13.89,196.0,94.0,8.82,9.1,5,2.46,0.0,False,100,0
23,SC,111,415,No,No,0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6,2.08,2.0,False,100,0
24,VA,132,510,No,No,0,81.1,86.0,13.79,245.2,72.0,20.84,237.0,115.0,10.67,10.3,2,2.78,0.0,False,100,0
25,NE,174,415,No,No,0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5,4.19,3.0,False,100,0
26,WY,57,408,No,Yes,39,213.0,115.0,36.21,191.1,112.0,16.24,182.7,115.0,8.22,9.5,3,2.57,0.0,False,100,0
27,MT,54,408,No,No,0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68.0,4.59,14.7,4,3.97,3.0,False,100,0
28,MO,20,415,No,No,0,190.0,109.0,32.3,258.2,84.0,21.95,181.5,102.0,8.17,6.3,6,1.7,0.0,False,100,0
30,IL,142,415,No,No,0,84.8,95.0,14.42,136.7,63.0,11.62,250.5,148.0,11.27,14.2,6,3.83,2.0,False,100,0
39,NJ,149,408,No,No,0,140.4,94.0,23.87,271.8,92.0,23.1,188.3,108.0,8.47,11.1,9,3.0,1.0,False,100,0
40,GA,98,408,No,No,0,126.3,102.0,21.47,166.8,85.0,14.18,187.8,135.0,8.45,9.4,2,2.54,3.0,False,100,0
41,MD,135,408,Yes,Yes,41,173.1,85.0,29.43,203.9,107.0,17.33,122.2,78.0,5.5,14.6,15,3.94,0.0,True,100,1
42,AR,34,510,No,No,0,124.8,82.0,21.22,282.2,98.0,23.99,311.5,78.0,14.02,10.0,4,2.7,2.0,False,100,0
43,ID,160,415,No,No,0,85.8,77.0,14.59,165.3,110.0,14.05,178.5,92.0,8.03,9.2,4,2.48,3.0,False,100,0
44,WI,64,510,No,No,0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,3.5,3,0.95,1.0,False,100,0
45,OR,59,408,No,Yes,28,120.9,97.0,20.55,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5,2.3,2.0,False,100,0
46,MI,65,415,No,No,0,211.3,120.0,35.92,162.6,122.0,13.82,134.7,118.0,6.06,13.2,5,3.56,3.0,False,100,0
47,DE,142,408,No,No,0,187.0,133.0,31.79,134.6,74.0,11.44,242.2,127.0,10.9,7.4,5,2.0,2.0,False,100,0
48,ID,119,415,No,No,0,159.1,114.0,27.05,231.3,117.0,19.66,143.2,91.0,6.44,8.8,3,2.38,5.0,True,100,1
49,WY,97,415,No,Yes,24,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3,2.97,1.0,False,100,0
50,IA,52,408,No,No,0,191.9,108.0,32.62,269.8,96.0,22.93,236.8,87.0,10.66,7.8,5,2.11,3.0,False,100,0
51,IN,60,408,No,No,0,220.6,57.0,37.5,211.1,115.0,17.94,249.0,129.0,11.21,6.8,3,1.84,1.0,False,100,0
52,VA,10,408,No,No,0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6,3.08,2.0,False,100,0
53,UT,96,415,No,No,0,160.2,117.0,27.23,267.5,67.0,22.74,228.5,68.0,10.28,9.3,5,2.51,2.0,False,100,0
54,WY,87,415,No,No,0,151.0,83.0,25.67,219.7,116.0,18.67,203.9,127.0,9.18,9.7,3,2.62,5.0,True,100,1
55,IN,81,408,No,No,0,175.5,67.0,29.84,249.3,85.0,21.19,270.2,98.0,12.16,10.2,3,2.75,1.0,False,100,0
56,CO,141,415,No,No,0,126.9,98.0,21.57,180.0,62.0,15.3,140.8,128.0,6.34,8.0,2,2.16,1.0,False,100,0
57,CO,121,408,No,Yes,30,198.4,129.0,33.73,75.3,77.0,6.4,181.2,77.0,8.15,5.8,3,1.57,3.0,True,100,1
58,WI,68,415,No,No,0,148.8,70.0,25.3,246.5,164.0,20.95,129.8,103.0,5.84,12.1,3,3.27,3.0,False,100,0
59,OK,125,408,No,No,0,229.3,103.0,38.98,177.4,126.0,15.08,189.3,95.0,8.52,12.0,8,3.24,1.0,False,100,0
60,ID,174,408,No,No,0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4,3.08,1.0,False,100,0
61,CA,116,415,No,Yes,34,268.6,83.0,45.66,178.2,142.0,15.15,166.3,106.0,7.48,11.6,3,3.13,2.0,False,100,0
62,MN,74,510,No,Yes,33,193.7,91.0,32.93,246.1,96.0,20.92,138.0,92.0,6.21,14.6,3,3.94,2.0,False,100,0
63,SD,149,408,No,Yes,28,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3,3.4,3.0,False,100,0
64,NC,38,408,No,No,0,131.2,98.0,22.3,162.9,97.0,13.85,159.0,106.0,7.15,8.2,6,2.21,2.0,False,100,0
65,WA,40,415,No,Yes,41,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5,1.67,2.0,False,100,0
66,WY,43,415,Yes,No,0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4,2.51,0.0,False,100,0
67,MN,113,408,Yes,No,0,125.2,93.0,21.28,206.4,119.0,17.54,129.3,139.0,5.82,8.3,8,2.24,0.0,False,100,0
68,UT,126,408,No,No,0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1,2.11,1.0,False,100,0
69,TX,150,510,No,No,0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3,3.73,4.0,True,100,1
70,NJ,138,408,No,No,0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7,3.19,3.0,False,100,0
71,MN,162,510,No,Yes,46,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2,3.27,0.0,False,100,0
72,NM,147,510,No,No,0,248.6,83.0,42.26,148.9,85.0,12.66,172.5,109.0,7.76,8.0,4,2.16,3.0,False,100,0
73,NV,90,415,No,No,0,203.4,146.0,34.58,226.7,117.0,19.27,152.4,105.0,6.86,7.3,4,1.97,1.0,False,100,0
74,HI,85,415,No,No,0,235.8,109.0,40.09,157.2,94.0,13.36,188.2,99.0,8.47,12.0,3,3.24,0.0,False,100,0
75,MN,50,415,No,No,0,157.1,90.0,26.71,223.3,72.0,18.98,181.4,111.0,8.16,6.1,2,1.65,1.0,False,100,0
76,DC,82,415,No,No,0,300.3,109.0,51.05,181.0,100.0,15.39,270.1,73.0,12.15,11.7,4,3.16,0.0,True,100,1
77,NY,144,408,No,No,0,61.6,117.0,10.47,77.1,85.0,6.55,173.0,99.0,7.79,8.2,7,2.21,4.0,True,100,1
78,MN,46,415,No,No,0,214.1,72.0,36.4,164.4,104.0,13.97,177.5,113.0,7.99,8.2,3,2.21,2.0,False,100,0
79,MD,70,408,No,No,0,170.2,98.0,28.93,155.2,102.0,13.19,228.6,76.0,10.29,15.0,2,4.05,1.0,False,100,0
80,WV,144,415,No,No,0,201.1,99.0,34.19,303.5,74.0,25.8,224.0,119.0,10.08,13.2,2,3.56,1.0,False,100,0
81,OR,116,415,Yes,No,0,215.4,104.0,36.62,204.8,79.0,17.41,278.5,109.0,12.53,12.6,5,3.4,3.0,False,100,0
82,CO,55,408,No,Yes,25,165.6,123.0,28.15,136.1,95.0,11.57,175.7,90.0,7.91,11.0,2,2.97,3.0,False,100,0
83,GA,70,415,No,Yes,24,249.5,101.0,42.42,259.7,98.0,22.07,222.7,68.0,10.02,9.8,4,2.65,1.0,False,100,0
84,TX,106,510,No,No,0,210.6,96.0,35.8,249.2,85.0,21.18,191.4,88.0,8.61,12.4,1,3.35,2.0,True,100,1
85,VT,128,510,No,Yes,29,179.3,104.0,30.48,225.9,86.0,19.2,323.0,78.0,14.54,8.6,7,2.32,0.0,False,100,0
86,IN,94,408,No,No,0,157.9,105.0,26.84,155.0,101.0,13.18,189.6,84.0,8.53,8.0,5,2.16,4.0,True,100,1
87,WV,111,510,No,No,0,214.3,118.0,36.43,208.5,76.0,17.72,182.4,98.0,8.21,12.0,2,3.24,1.0,False,100,0
